INFO 2026-01-29 11:14:29,641 autoreload Watching for file changes with StatReloader
INFO 2026-01-29 11:23:23,566 log "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 928
INFO 2026-01-29 11:23:23,566 log "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1761
INFO 2026-01-29 11:23:23,566 log "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 593
INFO 2026-01-29 11:23:51,020 log "GET /admin/hackathon/application/add/ HTTP/1.1" 200 24803
INFO 2026-01-29 11:23:51,040 log "GET /static/admin/js/autocomplete.js HTTP/1.1" 200 1060
INFO 2026-01-29 11:23:51,040 log "GET /static/admin/js/vendor/select2/i18n/en.js HTTP/1.1" 200 844
INFO 2026-01-29 11:23:51,041 log "GET /static/admin/css/vendor/select2/select2.css HTTP/1.1" 200 17358
INFO 2026-01-29 11:23:51,041 log "GET /static/admin/css/autocomplete.css HTTP/1.1" 200 9185
INFO 2026-01-29 11:23:51,041 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-29 11:23:51,042 log "GET /static/admin/js/vendor/select2/select2.full.js HTTP/1.1" 200 173566
INFO 2026-01-29 11:23:51,048 log "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2026-01-29 11:23:51,064 log "GET /static/admin/img/icon-deletelink.svg HTTP/1.1" 200 689
INFO 2026-01-29 11:23:51,064 log "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2026-01-29 11:23:56,966 log "GET /admin/autocomplete/?app_label=hackathon&model_name=application&field_name=region HTTP/1.1" 200 762
INFO 2026-01-29 11:23:58,051 log "GET /admin/autocomplete/?app_label=hackathon&model_name=application&field_name=school HTTP/1.1" 200 1644
INFO 2026-01-29 11:24:06,826 log "POST /admin/hackathon/application/add/ HTTP/1.1" 302 0
INFO 2026-01-29 11:24:06,855 log "GET /admin/hackathon/application/ HTTP/1.1" 200 35036
INFO 2026-01-29 11:24:06,866 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-29 11:24:06,883 log "GET /static/admin/img/icon-yes-dark.svg HTTP/1.1" 200 558
INFO 2026-01-29 11:24:09,519 log "GET /admin/hackathon/application/ HTTP/1.1" 200 34823
INFO 2026-01-29 11:24:09,544 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-29 11:24:11,624 log "GET /admin/hackathon/application/ HTTP/1.1" 200 34823
INFO 2026-01-29 11:24:11,640 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-29 11:24:13,232 log "GET /admin/hackathon/application/ HTTP/1.1" 200 34823
INFO 2026-01-29 11:24:13,252 log "GET /static/admin/css/forms.css HTTP/1.1" 200 8788
INFO 2026-01-29 11:24:13,253 log "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2026-01-29 11:24:13,253 log "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 3538
INFO 2026-01-29 11:24:13,253 log "GET /static/admin/css/changelists.css HTTP/1.1" 200 7501
INFO 2026-01-29 11:24:13,253 log "GET /static/admin/css/base.css HTTP/1.1" 200 23100
INFO 2026-01-29 11:24:13,253 log "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2026-01-29 11:24:13,259 log "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2026-01-29 11:24:13,260 log "GET /static/admin/css/responsive.css HTTP/1.1" 200 16273
INFO 2026-01-29 11:24:13,260 log "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2026-01-29 11:24:13,260 log "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
INFO 2026-01-29 11:24:13,262 log "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9777
INFO 2026-01-29 11:24:13,264 log "GET /static/admin/css/widgets.css HTTP/1.1" 200 11811
INFO 2026-01-29 11:24:13,265 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-29 11:24:13,266 log "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2026-01-29 11:24:13,266 log "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2026-01-29 11:24:13,268 log "GET /static/admin/img/search.svg HTTP/1.1" 200 607
INFO 2026-01-29 11:24:13,269 log "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2026-01-29 11:24:13,269 log "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2026-01-29 11:24:13,271 log "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
